[ moleculetype ]
; Name            nrexcl
DOPC               3

[ atoms ]
;   nr       type  resnr residue  atom   cgnr       charge     mass
   107       CTL2      1   DOPC    C38    107       0.03     12.011 
   108       HAL2      1   DOPC    H8X    108       0.03      1.008 
   109       HAL2      1   DOPC    H8Y    109       0.03      1.008 
   110       CEL1      1   DOPC    C39    110      -0.20     12.011 
   111       HEL1      1   DOPC    H9X    111       0.11      1.008 
   112       CEL1      1   DOPC   C310    112      -0.20     12.011 
   113       HEL1      1   DOPC   H10X    113       0.11      1.008 
   114       CTL2      1   DOPC   C311    114       0.03     12.011 
   115       HAL2      1   DOPC   H11X    115       0.03      1.008 
   116       HAL2      1   DOPC   H11Y    116       0.03      1.008 
   117       CTL2      1   DOPC   C312    117       0.00     12.011 
   118       HAL2      1   DOPC   H12X    118       0.00      1.008 
   119       HAL2      1   DOPC   H12Y    119       0.00      1.008 
   120       CTL2      1   DOPC   C313    120       0.00     12.011 
   121       HAL2      1   DOPC   H13X    121       0.00      1.008 
   122       HAL2      1   DOPC   H13Y    122       0.00      1.008 
   123       CTL2      1   DOPC   C314    123       0.00     12.011 
   124       HAL2      1   DOPC   H14X    124       0.00      1.008 
   125       HAL2      1   DOPC   H14Y    125       0.00      1.008 
   126       CTL2      1   DOPC   C315    126       0.00     12.011 
   127       HAL2      1   DOPC   H15X    127       0.00      1.008 
   128       HAL2      1   DOPC   H15Y    128       0.00      1.008 
   129       CTL2      1   DOPC   C316    129       0.00     12.011 
   130       HAL2      1   DOPC   H16X    130       0.00      1.008 
   131       HAL2      1   DOPC   H16Y    131       0.00      1.008 
   132       CTL2      1   DOPC   C317    132       0.047     12.011
   133       HAL2      1   DOPC   H17X    133      -0.007      1.008
   134       HAL2      1   DOPC   H17Y    134      -0.007     1.008 
   135       CTL3      1   DOPC   C318    135      -0.081     12.011
   136       HAL3      1   DOPC   H18X    136       0.016      1.008
   137       HAL3      1   DOPC   H18Y    137       0.016     1.008 
   138       HAL3      1   DOPC   H18Z    138       0.016     1.008 
